0," What number did Carlton Fisk, who was inducted into the Baseball Hall of Fame in 2000, wear when he played for the Chicago White Sox?",72,27,15,13
0,How many professional American football teams were there at the end of the 1920 season?,14,30,5,15
0,How many goals did Denis Law score during his 11 seasons with Manchester United?,239,260,240,179
0,When was the first NBA Championship game played?,1947,1937,1905,1889
0," The Detroit Red Wings won their first Stanley Cup, after defeating the Toronto Maple Leafs in what year?",1936,1934,1959,1925
0,What year was former baseball player Pete Rose born?,1941,1942,1943,1944
0,Major League Baseball started giving Rookie of the Year Award in each league in what year?,1949,1947,1950,1948
0,What year did Major League Baseball start giving out the Rookie of the Year Award?,1947,1945,1949,1951
0,The Milwaukee Braves won the World Series in what year?,1957,1954,1956,1955
0,In which World Series did the New York Yankees become world champions led by Mantle and Berra?,1958,1957,1960,1959
0,When did the Pittsburgh Pirates win the World Series?,1960,1963,1961,1962
0,In what year did Roger Staubach win the Heisman Trophy?,1963,1962,1965,1964
0,When did the Oakland Athletics win their first of three consecutive World Series?,1972,1971,1969,1970
0," The Cincinnati Reds, a Major League Baseball, became World Champions in what year?",1975,1977,1973,1970
0," Already a permanent part of the American Basketball Association, the 3-point shot was instituted by the NBA in what year?",1980,1955,1965,1977
0,When did the Los Angeles Dodgers win the fall classic led by Fernando Valenzuela?,1981,1983,1982,1980
0,The Detroit Tigers won the World Series in which of the following years?,1984,1972,1971,1983
0,Former NBA player Michael Jordan won his second Olympic gold medal in what year?,1992,1988,1996,1984
0," Bret Hart wrestled in every SummerSlam that he could, while a WWF SuperStar.  From 1988-1997 he missed only one SummerSlam.  What year?",1996,1989,1990,1988
0,The Largest in terms of attendance SummerSlam took Place in what year?,1992,2001,2002,1994
0,Andre Agassi won first position in singles rankings for the first time in his career in this year.,1995,1992,1993,1997
0,How much did Manchester United pay PSV Eindhoven for Ruud Van Nistelrooy in 2001?,19 million pounds,20 million pounds,18 million pounds,200 000 pounds
0,The 1985-86 season in the NBA championship saw what number title for the Boston Celtics?,16th,20th,15th,21st
0,How many wins did NASCAR driver Ryan Newman have in 2003?,8,5,1,3
0," When keeping a box score of a baseball game, what is the number of the catcher?",2,1,4,3
0," Roughly how many television viewers watched the 2000 Olympic Games in Sydney, Australia over the whole course of the event?",3.8 billion,38 billion,38 million,3.8 million
0," Dean Smith was the all-time wins leader among college coaches until Bobby Knight surpassed him on January 1, 2007. How many seasons did Smith coach?",36,37,38,39
0," What number did  Baseball Hall of Famer, Rod Carew, wear on his uniform when he played for the Minnesota Twins?",29,33,6,44
0," In professional wrestling, the high side thrust kick, often used by Shawn Michaels as a finishing move, is also known by what name?",Sweet Chin Music,Leg Drop,Batista Bomb,5 Star
0,Margo Dydek broke the record for the tallest player to ever play in the WNBA. How tall is she?,72 (2.18 m),74 (2.23 m),67 (2.00 m),69 (2.05 m)
0,What number did Major League Baseball player Pete Rose wear when he played for the Cincinnati Reds?,14,5,4,7
0," How many innings are in a Little League baseball game, excluding extra innings?",6,5,8,7
0,How many home runs did Hank Aaron hit in his career?,755,609,625,750
0," In 1990, this commissioner banned New York Yankees owner George Steinbrenner from baseball for life.",Fay T. Vincent,Bud Selig,Bowie Kuhn,A. Bartlett Giamatti
0,This baseball commissioner played a vital role in convincing the Chicago Cubs to install lights at the Wrigley Field stadium instead of reimbursing the league for lost night games.,Peter V. Ueberroth,Fay T. Vincent,Bud Selig,A. Bartlett Giamatti
0,Which of the following soccer teams is not from Cyprus?,Kerkira,Appolon,Omonia,AEK Larnaca
0,Which of these Hall of Famers played first base for the Detroit Tigers?,Hank Greenberg,Alan Trammel,Denny McLain,Al Kaline
0,Several Major Leaguers have had multiple 50-plus home run seasons. Which player listed below has NOT accomplished this feat at least 3 times?,Barry Bonds,Babe Ruth,Mark McGwire,Alex Rodriguez
0," Dating back to 776 B.C., the ancient Olympic Games were held in the valley of Olympia in southwestern Greece, to honor this god.",Zeus,Poseidon,Hermes,Apollo
0,When was the first intercollegiate womens basketball game played?,"April 4, 1896","April 4, 1906","April 4, 1916","April 4, 1926"
0,This quarterback won the 1996 Heisman Trophy.,Danny Wuerffel,Peyton Manning,Eli Manning,Archie Manning
0,Nick Bollettieri is one of the most famous tennis coaches. Where is his training campus located?,Florida,New York,California,Arizona
0,Which of the following soccer teams plays in the French  Le Championat?,AJ Auxerre,Charleroi SC,DSC Arminia Bilefeld,AS Jeunesse Esch
0,The Olympic Flame was introduced in 1928 and carrying it in a relay in the lead-up to each game began in 1936. Where in Greece is the flame lit at the start of the relay?,Olympia,Rhodes,Olympus,Athens
0,What NFL football team had the second to worst record in 2007?,St. Louis Rams,The Tennessee Titans,Green Bay Packers,Atlanta Falcons
0,Which of the Grand Slams has not been won by Pete Sampras?,Roland Garros,US Open,Wimbledon,Australian Open
0," This Boston Red Sox Hall of Fame outfielder, who served twice in the military as a marine corps pilot, was a two-time MVP winner (1946 and 1949) and a two-time Triple Crown winner (1942 and 1947).",Ted Williams,Carl Yastrzemski,Harry Hooper,Babe Ruth
0,Lynn Swann was a wide receiver for which N.F.L. team?,Steelers,Colts,Dolphins,Bengals
0,Walter Payton played for this team from 1975 - 1987.,Bears,Browns,Seahawks,Bengals
0," Which cyclist was diagnosed with testicle cancer, but recovered and won the prestigious Tour de France race for a record breaking 7 consecutive years?",Lance Armstrong (USA),Eddy Merckx (Belgium),Miguel Indurain (Spain),Bernard Hinault (France)
0,This quarterback won the 1966 Heisman Trophy.,Steve Spurrier,Archie Manning,Joe Namath,Bert Jones
0," In 1914, this catcher broke the record for throwing out base runners in an inning.",Les Nunamaker,Steve ONeil,Muddy  Reul,Bill Dickey
0,Who was the first NBA player to average a triple double for an entire season?,Oscar Robertson,Wilt Chamberlain,Elgin Baylor,Bill Russell
0,Who was the first person to become a member of both the Pro Football Hall of Fame and the Baseball Hall of Fame?,Cal Hubbard,Jackie Jensen,Dave Winfield,Bo Jackson
0," What pitcher, who last played with the St. Louis Cardinals, died suddenly in his hotel room in Chicago in 2002?",Darryl Kile,Steve Carlton,John Tudor,Bob Tewksbury
0," This former pitcher, manager and executive in Major League Baseball, who led the Philadelphia Phillies to their first World Series title in 1980, managed the New York Mets during 1993-96.",Dallas Green,Davey Johnson,Joe Torre,Bobby Valentine
0,Which team won five NBA titles in the 1980s?,Los Angeles Lakers,New York Knicks,Chicago Bulls,Boston Celtics
0,Who won the first NBA Championship in 1947?,Philadelphia Warriors,New York Knicks,Minneapolis Lakers,Boston Celtics
0," Wally Szczerbiak , who spent much of his childhood in Europe, played basketball at what college?",Miami (Ohio),Indiana State,Ball State,Bowling Green
0," The Legend of Bagger Vance (2000) is a popular Hollywood production, depicting the story of a fictional golf player who had lost his swing and found it again. Who played his role?",Matt Damon,Will Smith,Dustin Hoffman,Brad Pitt
0,Detroit is the capital of the US automotive industry. The Detroit basketball team is named after what car parts?,Pistons,Cylinders,Wheels,Brakes
0,Which member of the 2006 Chargers coaching staff was fired following the season?,Marty Schottenheimer,James Lofton,Wade Phillips,Cam Cameron
0,Members of which Olympic team were taken hostage by the terrorist group Black September during the 1972 Munich games?,Israel,Ethiopia,United States of America,Canada
0,Which two teams played in the first NFL championship?,Chicago Bears and the New York Giants,Canton Bulldogs and the Chicago Cardinals,Chicago Bears and the  Boston Tigers,Canton Bulldogs and the Providence Steamrolles
0,What nickname was applied to the St. Louis Cardinals team of the 1934?,Gashouse Gang,Flyin Birds,Whiz Kids,Cardiac Kids
0,Ken Griffey Jr. has played with the Reds but which other team did he start his career with?,Mariners,Red Sox,Braves,Cardinals
0," Which driver won the Golden Corral 500 on March 20, 2006 in Atlanta?",Kasey Kahne,"Dale Earnhardt, Jr.",Ryan Newman,Carl Edwards
0,What is Dale Earnhardt Juniors favourite football team?,Washington Redskins,Dallas Cowboys,Oakland Raiders,Carolina Panthers
0," On June 28, 1907, this Yankees catcher was unable to throw out any of the 13 Washington Senators who stole second base.",Branch Rickey,Ray Schalk,John McGraw,Casey Stengel
0," Successful Major League Baseball player and coach, Donald Edward Don Gullett, was famous for playing what position?",Pitcher,Second Base,Right Field,Catcher
0,Name the soccer team which is not based in Romania?,Politehnica Chisinau,Gloria Bistrita,FC Arges,CFR Cluj
0,Which of these teams does not have the color blue in their logo?,Atlanta Falcons,New York Islanders,Washington Capitals,Charlotte Bobcats
0,Which of these teams won their first Super Bowl in 2005?,None of these,Atlanta,Seattle,Cincinnati
0," Where were the NBA Hawks located, before moving to Atlanta?","St. Louis,MO","Rochester, NY","Syracuse, NY","Cincinnati, OH"
0,This college and pro great had a very strange nickname -Crazy Legs.   His last name was Hirsch.  What was his real first name ?,Elroy,Lester,Arnie,Cliff
0," From 2000-2007, Dale Earnhardt, Jr. drove for what famous sponsor?",Budweiser,Miller,Pepsi,Coca-Cola
0,Which of these drivers won the most World Rally Championships and individual rallies?,Sébastien Loeb (France),Carlos Sainz (Spain),Juha Kankkunen (Finland),Colin McRae (UK)
0," Guess the nickname of Ty Cobb, who Won the Triple Crown in 1909.",The Georgia Peach,Georgia On My Mind,Kernal Cobb,Corn on the Cobb
0,What is the nickname of the University of Tennessees teams?,Volunteers,Hokies,Terrapins,Crimsom Tide
0," Despite losing the 1950 World series in four straight games, this baseball team was nicknamed The Whiz Kids.",Phillies,Dodgers,Braves,Cubs
0,Who were the only two players on the Red Sox 2004 World Series roster who already had World Series rings?,Mike Timlin and Curt Schilling,Dave Roberts and Keith Foulke,Keith Foulke and Mike Timlin,Curt Schilling and Ramiro Mendoza
0,This baseball player and American national icon was known as The Sultan of Swat.,Babe Ruth,Christy Mathewson,Lou Gehrig,Cy Young
0," This right-handed Major League Baseball player won the World Series MVP award, and then became the first player to sign with new team after winning the award, joining the Orioles in 1987.",Ray Knight,Lenny Dykstra,Dave Kingman,Darryl Strawberry
0,Who was the catcher Pete Rose collided into in the 1970 All-star game?,Ray Fosse,John Roseboro,None Of These,Dave Duncan
0," Which Red Sox player saw limited duty and limited success in 2004, after an embarrassing incident in which he made an obscene gesture to the fans before a 2003 playoff game?",Byung-Hyun Kim,Ramiro Mendoza,Gabe Kapler,David McCarty
0," After a great college career at Louisville, this center became the first star for the old Washington Bullets (now the Washington Wizards). He was less than 68 (2 m) tall but was noted for his great rebounding, picks and fabulous outlet passes. Who is this former NBA great?",Wes Unseld,Wllis Reed,Nate Thurmond,David Robinson
0,The other name of Queens Club Championship is this.,Stella Artois Championship,Sony Championship,Vodafone Championship,Davis Cup
0,What 1968 Olympic citys altitude was responsible for many track and field records being broken because of the rarefied air?,Mexico City,Helsinki,Rome,Denver
0,Larry Brown led this team from 1997 to 2003.,Philadephia 76ers,Chicago Bulls,LA Lakers,Denver Nuggets
0,This former baseball player called The Major won the World Series in his first two seasons as manager.,Ralph Houk,Earl Weaver,Joe McCarthy,Dick Howser
0,This backcourt  wonder and Basketball Hall of Famer was often billed as the worlds greatest dribbler. He was born in Oklahoma and attended Langston University.,Marques Haynes,John Stockton,Frank McGuire,DicK McGuire
0,Which Hall of Fame pitcher was best known as Dizzy?,Jay Dean,Bill Dean,Paul Dean,Don Dean
0," Many of the greatest coaches, both pro and college, trace their learning to Miami University of Ohio and the teachings of this coaching great, who led Cleveland to many championships.",Paul Brown,Woody  Hayes,Weeb Ewbank,Don Shula
0," This baseball player, who started his career with the Texas Rangers in 1991 at the age of 19, is known as Pudge.",Ivan Rodriguez,Rusty Greer,Alfonso Soriano,Doug Mirabelli
0,Who was the first African American NFL quarterback?,Willie Thrower,Jack Tosser,Marlin Briscoe,Doug Williams
0,Which of these schools is NOT on the legendary Tobacco Road?,Clemson,Wake Forest,The University of North Carolina (UNC),Duke
0,Which of these is not a Scottish soccer team?,Donegal Celtic FC,Aberdeen,Celtic FC,Dundee United
0,He retired with the NBAs highest scoring average (30.1 points per game).,Michael Jordan,Jarmaine ONeal,Shaquille ONeal,Dwyane Wade
0," Besides being co-owner of Chance 2 Motorsports, what other company does Dale Earnhardt  Jr. own?",JR Motorsports,Second Chance Driving,JR Inc.,Earnhardt Racing Co.
0," Ron Santo, who played almost his entire career with the Chicago Cubs, was named a National League All-Star how many times?",nine,eleven,ten,eight
0,Who started at third base for the New York Mets on Opening Day in 1962?,Don Zimmer,Ed Charles,Rod Kanehl,Elio Chacon
0," Joining the team in 1962, this former infielder, manager and coach was the first 3rd baseman to play for the New York Mets.",Don Zimmer,Wayne Garrett,Ed Charles,Elliot Maddox
0,Who did Steve Austin mock backstage during a promotional shoot for Extreme Championship Wrestling?,Hulk Hogan,Macho Man Randy Savage,Kevin Nash,Eric Bischoff
0,Which Charger led the team in receiving touchdowns in 2006?,Antonio Gates,Keenan McCardell,Vincent Jackson,Eric Parker
0," During the 1963-64 season, he set the United record for most goals in one season -- 46.",Denis Law,Ruud Van Nistelrooy,Bobi Charlton,Erik Cantona
0,Which college has the team nicknamed The Sooners?,Oklahoma,San Diego State,Purdue,Florida
0,Michael Jordan majored in geography at what university?,University of North Carolina,Duke University,Arizona State University,Florida State University
0,Which baseball commissioner was widely criticized for refusing to cancel games following the assassinations of Martin Luther King and Robert Kennedy?,Lt. Gen. William D. Eckert,A.B. Happy Chandler,Bowie K. Kuhn,Ford C. Frick
0," This person, widely regarded as the founder of the modern Olympic Games, presented his ideas of reviving the Olympics at a 1894 congress, held in Paris.",Pierre de Coubertin,Father Henri Martin Didon,Harold Abrahams,Gaston Doumergue
0,What is Chipper Jones actual first name?,Larry,Peter,Paul,George
0," As most NFL fans know, this kicker was born without toes on his right foot.",Tom Dempsey,Josh Brown,Adam Vinatieri,George Blanda
0," What college basketball team did Billy King, general manager of the Philadelphia 76ers, play for?",Duke,Alabama,UCLA,Georgetown
0," He played for the Boston Bruins from 1966 to 1976.  On May 10, 1970 he scored an amazing goal diving through the air after being tripped, giving Boston its first Stanley Cup in 29 years.",Bobby Orr,Phil Espeszito,Wayne Greztky,Gordie Howe
0," In what city did the same skier win all three Olympic alpine events for the first time in history, in 1956?",Cortina DAmpezzo,Torino,Oslo,Grenoble
0,Who was the first NHL goalie to get a shutout?,Georges Vezina,Roger Stanley,Charlie Broadieaux,Gump Worsley
0,Guess the nickname of Henry Louis Gehrig.,The Iron Horse,Joltin Joe,Swish,Hank
0,Which three teams are eligible to win The Commanders Trophy ?,"Army, Navy and Air Force","Indiana, Purdue and Ball state.","UCLA, USC and Stanford","Harvard, Yale, and Princeton"
0,This great sportsman was the first football player to be all-pro at defensive back one year and running back another.,Gifford,Grange,Thorpe,Haynes
0,Why did baseball player Derek Jeter acquire the nickname Mr. November?,He hit a game-winning homer in the first World Series game ever played in November.,That is his bats nickname.,His uniform number is 11.,He loves Thanksgiving.
0,Frank Robinson won the Rookie of the Year Award while playing with which team?,CIncinnati Reds,Baltimore Orioles,Cleveland Indians,Houson Colt 45s
0," Mark Price, Larry Nance, Brad Daugerty, Shawn Kemp and Austin Carr have been chosen to be this teams all-time starting five.",Cleveland Cavaliers,Philadelphia 76ers,Denver Nuggets,Houston Rockets
0,Who was The Rocks tag team partner when he battled Evolution at Wrestlemania XX?,Mick Foley,Stone Cold Steve Austin,Ric Flair,Hulk Hogan
0," On September 17, 1948 Greenbay played Boston in an NFL game. What was the significance of the game?",It was the first time a penalty flag was thrown.,It was the first time a NFL game that went into overtime.,It was the first time an interception was returned for a touchdown.,It was the first NFL game to be on radio.
0," Which driver swept both races at Pocono in 2006, winning also both poles?",Denny Hamlin,Clint Bowyer,"Martin Truex, Jr.",J.J. Yeley
0," Who was the first professional golfer to win all four professional major championships, known as a Career Grand Slam?",Gene Sarazen,Ben Hogan,Bobby Jones,Jack Nicklaus
0,Who is considered the first modern heavyweight boxing champion?,John L. Sullivan,Bob Fotzsimmons,Jimmy Ellis,James J. Corbett
0,Who was the 1st  European-born hockey player to be drafted first overall in the NHL entry draft?,Mats Sundin,Ulf Dahlén,Jari Kurri,Jaromir Jagr
0," He was drafted in 2002 by Phoenix Suns, right after Nikoloz Tskitishvili , Dajuan Wagner, Nene, and Chris Wilcox.",Amare Stoudemire,Shawn Kemp,LeBron James,Jason Kidd
0,Which of these 2004 Red Sox stars was not a first-round draft pick?,David Ortiz,Nomar Garciaparra,Manny Ramirez,Jason Varitek
0,Who was the first baseball player to hit a home run in Minute Maid Park?,Scott Rolen,Richard Hidalgo,Barry Bonds,Jeff Bagwell
0,Only two drivers each got 6 poles in 2006. Kasey Kahne was one. Name the other.,Kurt Busch,Ryan Newman,Scott Riggs,Jeff Burton
0,Who was the first NBA player to win Rookie of the Year and MVP in the same season?,Wilt Chamberlain,Elgin Baylor,Bill Russell,Jerry West
0,For which of these teams did Troy Aikman play?,Cowboys,Cardinals,Seahawks,Jets
0,This NASCAR Nextel Cup Series and Busch Series driver won the 2005 Golden Corral 500.,Carl Edwards,Tony Stewart,Bobby Labonte,Jimmie Johnson
0,Which of these Hall of Famers was first baseman for the San Francisco Giants?,Orlando Cepeda,Willie Mayes,Bobby Sutter,Jocko Thomas
0," Who was the winning pitcher in game six of the 1995 World Series, 1-0 victory over the Cleveland Indians?",Tom Glavine,Steve Avery,Greg Maddux,John Smoltz
0,All of the following players have at least 50 home runs in a season. Which one of these has the lowest overall career home run total?,Roger Maris,Greg Vaughn,Albert Belle,Johnny Mize
0,Which baseball player became the first pitcher to throw 277 wild pitches?,Nolan Ryan,Phil Niekro,Jack Morris,Juan Guzman
0,Which of these bascetball players scored 100 points in one college game?,Frank Selvey,Wilt Chamberlain,Rod Thorn,Kareem Abdul Jabbar
0,Which baseball player became the first to hit at least 20 home runs in a month?,Sammy Sosa,"Ken Griffey, Jr.",Babe Ruth,Ken Griffey
0," This professional NASCAR driver, winner of the 1989 Winston Cup Championship, retired after the 2005 NASCAR Nextel Cup season.",Rusty Wallace,Mark Martin,Ricky Rudd,Ken Schrader
0," Chicago Bulls drafted this player in 1984, who is probably the best in the NBA ever. He played his final game on April 16, 2003.",Michael Jordan,Shaquille ONeal,Magic Johnson,Kevin Garnett
0,He was selected by the Phoenix Suns in the first round (15th pick overall) of the 1996 NBA Draft.  In 2005 he was awarded MVP (most valuable player).,Steve Nash,Carmelo Anthony,Karl Malone,Kobe Bryant
0," Who won the Sharpie 500 in Bristol on August 26, 2006?",Matt Kenseth,Kevin Harvick,Kyle Busch,Kurt Busch
0," Ice hockey was first played in the 1920 Olympics, which were held in what city?",Antwerp,Montreal,Chamonix,Lake Placid
0," Who was the only undefeated boxing heavyweight champ, later killed in an airplane accident?",Rocky Marciano,Floyd Patterson,Ezzard Charles,Leon Spinks
0," In tennis, what are the two shots that are the same movement?",Serve/Overhead,Volley/Forehand,Forehand/Backhand,Lob/Serve
0," This quarterback played his college ball at Louisville and his pro ball for Philadelphia. In a game  against the Bears, he scored 15 points.",David Akers,George Blanda,Adam Vinatierri,Lou Groza
0,Who was the first Commissioner of Major League Baseball?,Kenesaw Mountain Landis,Bowie Kent Kuhn,A.B. Happy Chandler,Lt. Gen. William D. Eckert
0,Which of these cities does not host any Tennis Masters Series tournaments?,London,Rome,Monaco,Madrid
0,Who was the first man to run a mile in under 4 minutes?,Roger Bannister,Bill Hayes,Jim  Thorpe,Marcel Coe
0,I played for the national team of West Germany from 1965-1977. I went on to become national team manager and led our team to the World Cup finals in 1990 and 1986. Who am I?,Franz Beckenbauer,Johan Cruyff,Ruud Gullit,Marco Van Basten
